Colour (TCU),Turbidity (NTU),pH,Conductivity (uS/cm),Total Dissolved Solids (mg/l),Total Hardness (mg/l as CaCO3),Aluminium (mg/l),Chloride (mg/l),Total Iron (mg/l),Sodium (mg/l),Sulphate (mg/l),Zinc (mg/l),Magnesium (mg/l),Calcium (mg/l),Potassium (mg/l),Nitrate (mg/l),Phosphate (mg/l),Potability
10.78,2.73,7.96,991.62,373.46,257.53,0.11,142.0,0.17,181.24,398.66,4.75,38.25,61.55,12.34,4.24,1.17,potable
13.71,3.28,8.41,334.93,11.35,41.18,0.06,173.16,0.16,190.74,399.94,1.55,46.38,53.43,37.74,18.18,1.02,potable
2.22,0.88,7.26,635.48,128.42,153.58,0.04,123.33,0.28,69.77,187.59,1.26,49.3,93.94,25.15,30.02,1.7,potable
5.41,1.29,6.74,60.47,25.73,247.39,0.03,38.45,0.19,12.04,63.76,2.58,63.47,63.27,13.1,23.77,0.99,potable
12.09,2.65,6.89,27.23,253.93,255.87,0.12,29.21,0.27,40.85,42.87,1.93,22.03,81.29,45.83,44.49,1.82,potable
2.57,4.22,6.6,160.49,273.96,145.38,0.03,199.96,0.23,108.58,80.68,1.72,91.47,139.3,46.46,18.39,1.44,potable
13.74,1.5,8.4,1451.87,229.76,255.84,0.19,123.72,0.25,22.73,323.28,4.66,98.35,82.12,26.65,37.56,0.57,potable
7.19,1.94,7.56,574.63,207.9,159.09,0.1,142.48,0.29,11.45,114.43,3.6,63.45,12.37,8.97,31.71,1.53,potable
10.46,1.76,6.67,500.47,471.53,164.31,0.04,205.04,0.13,43.4,281.06,2.22,15.75,109.53,20.12,16.55,0.62,potable
5.45,4.19,7.81,1496.65,589.41,216.21,0.03,94.67,0.01,49.57,248.47,0.32,65.91,92.13,2.29,36.83,0.65,potable
1.45,4.71,6.89,147.91,59.36,258.43,0.03,15.34,0.24,196.08,304.9,2.98,65.73,115.44,40.67,44.7,0.99,potable
9.03,0.23,7.59,132.33,3.78,190.55,0.02,249.77,0.05,156.96,164.48,3.38,37.72,26.62,27.25,24.74,0.08,potable
7.83,1.6,6.72,714.18,495.56,140.69,0.02,162.75,0.23,119.5,317.01,3.3,95.58,10.34,3.48,23.96,0.7,potable
0.2,2.5,6.55,997.61,452.39,190.86,0.03,56.73,0.21,176.29,101.19,4.1,45.19,103.48,5.96,42.82,1.44,potable
12.95,2.73,7.88,1230.16,789.67,126.63,0.2,49.45,0.02,72.35,323.2,0.79,7.91,92.97,15.74,38.36,2.09,potable
7.24,2.11,7.39,1228.07,339.11,171.22,0.18,193.45,0.0,70.57,270.44,2.85,21.89,18.89,8.69,41.44,0.83,potable
9.96,2.2,7.05,1433.96,509.06,139.48,0.11,15.11,0.21,31.62,357.2,4.06,62.91,111.79,49.74,11.89,1.43,potable
4.52,4.88,6.86,425.62,308.21,133.4,0.14,220.58,0.13,186.03,161.06,3.8,9.5,123.98,1.62,30.88,1.66,potable
7.67,2.2,7.89,1023.39,614.46,98.62,0.15,181.38,0.03,39.69,153.83,2.34,91.04,66.97,14.52,5.24,1.27,potable
11.64,3.42,7.18,1148.81,388.86,133.59,0.09,224.27,0.17,147.85,111.77,2.0,15.77,26.74,16.05,44.66,1.29,potable
6.05,1.33,7.39,977.93,996.3,74.36,0.18,108.18,0.28,44.45,141.41,2.16,43.33,7.59,20.89,20.0,1.83,potable
13.91,3.38,6.79,830.01,443.4,193.86,0.03,226.07,0.19,11.35,291.25,4.74,91.9,97.08,48.66,0.96,0.22,potable
10.0,1.21,8.2,1337.93,967.18,72.87,0.15,146.49,0.05,3.84,382.5,3.65,21.5,106.29,32.61,14.31,2.08,potable
12.43,2.42,6.5,359.68,646.89,3.13,0.0,170.99,0.06,67.39,142.62,2.88,9.12,12.46,24.74,39.46,1.32,potable
11.71,2.97,8.05,1270.44,792.13,19.01,0.16,35.43,0.26,169.69,14.36,4.31,14.31,49.92,42.24,19.43,0.64,potable
2.76,4.01,6.86,812.42,866.04,49.63,0.01,219.93,0.21,13.24,270.12,4.79,21.53,108.08,49.13,9.97,1.35,potable
13.24,3.22,7.6,843.0,43.52,78.5,0.12,221.11,0.14,199.53,398.41,1.42,60.03,54.71,34.5,4.92,1.03,potable
11.98,2.95,8.3,662.82,351.92,207.75,0.09,187.49,0.17,160.32,173.07,2.62,91.05,96.55,29.87,34.05,1.27,potable
1.47,3.85,7.54,747.58,748.72,22.49,0.14,248.2,0.07,22.21,373.02,3.44,92.22,36.88,43.19,5.02,2.06,potable
6.19,2.97,6.84,734.26,738.3,297.72,0.02,147.89,0.0,56.84,23.47,1.13,16.1,40.1,30.32,34.58,0.6,potable
6.75,0.5,7.14,1325.96,651.93,215.01,0.1,7.36,0.29,6.93,378.53,4.75,50.06,60.12,22.7,12.58,1.02,potable
13.64,4.35,6.68,739.22,789.72,262.31,0.09,69.63,0.28,97.5,267.36,1.61,19.27,88.95,46.53,20.97,1.5,potable
13.83,3.29,6.64,472.41,623.31,192.59,0.06,212.26,0.05,46.18,168.15,4.9,37.59,55.16,16.47,8.25,0.35,potable
10.65,4.21,6.52,1235.8,126.96,120.8,0.1,134.47,0.26,106.01,218.19,0.3,30.24,36.77,45.61,37.47,1.5,potable
5.15,0.95,7.23,473.06,399.96,248.96,0.14,38.11,0.02,79.95,258.26,0.5,40.46,26.07,42.24,0.79,1.75,potable
10.16,0.95,7.05,1130.08,141.9,223.24,0.1,62.84,0.15,52.57,338.19,3.23,9.46,64.47,2.16,7.62,1.37,potable
6.97,1.22,8.0,1321.48,326.59,135.29,0.08,159.29,0.3,146.69,338.52,0.13,40.47,36.12,48.68,16.76,0.54,potable
6.69,3.85,7.26,169.05,917.37,2.05,0.15,108.28,0.12,104.39,304.04,4.18,40.57,52.47,6.59,22.79,0.62,potable
7.71,1.57,6.6,528.76,494.62,82.65,0.04,55.21,0.1,18.37,25.54,0.14,76.69,133.09,21.42,19.66,0.61,potable
11.24,1.93,7.81,1292.34,158.77,149.84,0.1,155.14,0.2,126.65,167.22,2.06,50.37,79.9,7.68,16.22,1.44,potable
13.31,0.76,7.43,26.57,664.89,151.16,0.12,131.02,0.3,130.47,109.88,4.84,88.46,49.78,4.16,19.2,0.37,potable
1.24,3.78,7.35,530.68,608.93,247.04,0.02,105.27,0.01,12.12,231.17,0.97,13.96,61.4,22.46,15.54,1.08,potable
1.82,0.97,7.69,1024.83,965.05,276.34,0.03,30.16,0.25,52.89,254.52,2.07,19.21,19.79,26.92,42.09,1.92,potable
14.19,0.82,8.02,66.55,78.41,16.65,0.15,220.33,0.03,15.05,24.01,0.94,41.85,56.26,20.25,20.74,1.7,potable
0.13,4.93,7.2,1249.51,837.47,242.82,0.1,224.93,0.29,45.4,250.82,0.14,65.53,79.62,13.54,6.38,1.7,potable
7.69,2.5,8.07,471.93,968.73,144.94,0.04,128.69,0.16,99.93,2.16,1.74,82.29,41.28,33.91,36.23,1.38,potable
11.54,1.53,6.53,858.31,764.53,211.21,0.07,244.52,0.19,40.76,333.21,4.82,34.25,98.98,13.34,40.16,0.31,potable
3.09,1.41,7.02,741.64,909.11,134.95,0.01,216.77,0.03,103.66,288.15,1.24,49.63,93.75,46.6,33.04,0.01,potable
7.51,1.0,6.87,1143.22,13.04,127.15,0.2,96.04,0.23,149.64,346.35,4.23,45.49,14.37,3.1,36.53,1.83,potable
0.73,1.94,8.15,275.19,141.64,19.21,0.06,82.34,0.23,116.32,65.11,4.63,69.19,83.88,9.62,44.84,0.35,potable
6.59,3.39,8.13,1265.09,460.48,190.39,0.04,94.77,0.1,28.69,274.67,2.17,57.52,68.95,42.36,26.73,1.04,potable
5.84,3.75,8.34,503.53,125.53,227.85,0.12,221.36,0.11,7.48,200.49,0.4,13.24,5.56,2.54,43.85,2.16,potable
7.37,2.7,7.75,759.52,876.35,280.1,0.01,7.97,0.12,111.42,321.8,4.51,31.99,104.11,34.71,17.03,1.62,potable
0.31,3.8,7.12,191.92,452.21,285.09,0.19,148.59,0.06,34.28,28.42,2.41,95.73,1.81,28.97,31.9,0.92,potable
1.06,3.68,6.87,13.12,870.81,188.07,0.17,177.05,0.28,45.63,396.89,2.41,32.86,92.21,45.22,5.54,0.11,potable
13.7,0.76,7.02,996.39,505.47,213.62,0.05,179.14,0.06,167.94,376.99,0.32,58.11,13.38,1.96,17.63,0.22,potable
11.19,0.08,6.89,655.64,69.42,108.52,0.09,232.05,0.04,128.88,288.87,1.81,59.53,45.39,18.4,18.23,2.01,potable
12.91,2.6,6.99,1275.86,558.11,192.61,0.09,241.09,0.11,53.92,278.61,2.23,82.34,42.06,0.03,6.35,0.48,potable
7.93,1.46,7.92,809.34,700.52,32.26,0.07,239.43,0.11,72.51,371.92,2.77,80.06,86.08,45.85,39.0,0.65,potable
9.57,4.5,8.37,767.52,828.49,247.44,0.06,217.44,0.25,17.87,48.8,3.35,19.06,125.89,34.39,31.41,0.5,potable
12.8,0.36,8.07,589.01,368.75,269.67,0.09,81.74,0.24,128.1,363.46,3.79,46.49,12.75,9.77,22.34,1.98,potable
10.15,1.33,7.57,557.16,607.96,151.14,0.18,79.87,0.25,21.67,136.04,1.46,54.32,0.69,44.99,40.21,0.05,potable
12.39,4.39,6.73,1457.23,931.53,180.54,0.14,212.11,0.28,103.37,205.93,3.06,38.48,108.56,21.37,44.32,0.1,potable
8.35,3.13,8.31,1230.14,626.43,157.03,0.06,229.6,0.19,134.27,150.56,2.75,46.33,135.19,27.45,1.81,1.08,potable
14.19,4.39,7.22,1433.31,346.92,196.5,0.16,23.44,0.15,187.38,333.68,0.4,43.63,23.4,6.0,29.15,0.0,potable
9.98,4.12,7.39,459.55,607.52,28.36,0.04,157.02,0.1,44.24,146.24,2.65,61.93,75.52,14.5,19.97,1.79,potable
4.45,3.32,6.69,480.88,833.89,188.79,0.07,158.3,0.08,77.17,387.65,3.22,16.61,7.33,19.12,41.0,1.07,potable
0.51,1.04,7.39,1231.84,596.62,88.37,0.19,6.31,0.25,186.64,228.6,0.54,13.74,34.98,9.36,17.9,0.64,potable
9.07,3.6,7.38,537.77,462.07,57.5,0.07,131.01,0.06,199.09,238.13,1.89,30.08,107.49,22.79,38.37,0.21,potable
12.15,2.39,7.7,391.16,910.86,134.77,0.02,23.12,0.04,191.63,99.85,1.59,22.5,61.8,11.06,3.8,1.82,potable
9.78,1.88,6.69,719.75,86.3,167.5,0.18,109.83,0.24,94.22,206.65,4.22,53.58,82.97,11.51,15.07,0.82,potable
7.26,3.05,7.94,1289.18,852.39,39.08,0.17,176.4,0.21,118.51,208.71,2.06,2.93,42.97,21.5,23.07,1.16,potable
2.29,1.18,8.33,544.69,522.52,42.65,0.09,68.3,0.17,124.41,331.83,4.94,52.57,99.23,28.26,37.7,2.03,potable
3.88,4.14,7.35,1379.77,546.63,111.03,0.13,207.17,0.25,188.04,186.53,1.53,94.1,58.18,1.45,0.29,1.13,potable
6.74,4.58,7.0,905.92,967.52,181.54,0.06,83.92,0.23,162.8,306.97,4.66,93.4,24.75,21.29,34.58,0.16,potable
11.77,0.71,7.95,835.9,231.67,37.31,0.0,64.56,0.2,35.38,171.22,0.37,46.87,146.94,12.23,10.39,0.45,potable
4.37,1.27,7.94,541.51,17.53,57.43,0.1,210.97,0.02,18.73,192.13,1.04,57.94,21.0,29.96,13.19,0.89,potable
2.83,2.99,7.67,622.52,368.71,280.68,0.17,25.56,0.05,144.52,256.89,0.25,49.79,109.62,20.68,6.62,1.15,potable
14.92,2.27,6.83,1248.26,326.07,189.42,0.02,94.03,0.26,128.28,138.59,3.21,95.62,84.77,22.92,40.0,1.88,potable
3.47,1.5,7.14,1374.76,352.88,75.32,0.19,14.42,0.25,98.6,333.53,1.31,77.62,51.25,25.85,38.35,1.45,potable
5.81,1.47,8.49,226.47,548.45,61.5,0.01,9.27,0.27,24.8,223.22,0.93,98.09,20.2,18.15,7.45,1.26,potable
14.88,3.09,8.14,1273.04,894.54,3.01,0.1,40.24,0.19,117.21,310.76,2.09,32.25,133.92,5.54,43.54,0.51,potable
1.45,2.44,7.08,1436.65,99.24,140.93,0.16,192.17,0.12,164.11,156.5,3.79,13.63,89.25,34.6,30.3,1.88,potable
4.08,0.26,7.05,989.83,566.0,224.01,0.17,211.91,0.04,166.56,135.81,2.32,39.5,36.71,47.02,14.92,0.19,potable
5.57,4.43,7.01,181.93,108.31,142.0,0.14,66.81,0.16,152.75,330.67,4.33,59.89,26.3,15.87,31.48,1.05,potable
0.03,1.11,7.71,1203.54,397.37,288.29,0.08,204.86,0.22,94.79,56.06,1.44,77.92,128.78,47.89,25.98,0.91,potable
6.01,0.02,6.98,1202.87,338.39,251.99,0.19,32.94,0.27,158.23,151.39,2.19,42.53,69.44,19.21,5.21,1.98,potable
12.99,0.15,8.41,912.86,627.77,184.15,0.15,212.83,0.09,127.77,285.49,0.15,46.15,3.85,19.76,18.19,1.86,potable
4.93,2.21,7.01,1230.12,429.43,267.91,0.01,51.05,0.11,62.54,254.71,4.21,79.37,142.89,46.29,0.27,1.36,potable
7.28,0.67,7.42,1279.46,903.35,225.07,0.1,8.8,0.15,109.16,204.12,0.98,87.89,116.58,34.15,27.29,2.04,potable
14.18,1.21,7.01,1099.19,668.95,35.7,0.13,76.55,0.27,92.63,194.72,3.76,70.71,42.46,27.04,10.17,0.37,potable
5.42,4.84,6.56,262.76,634.55,266.27,0.09,177.48,0.2,196.08,8.12,0.31,68.26,3.18,21.71,40.99,1.97,potable
14.98,2.64,6.62,1117.25,144.89,56.14,0.02,27.98,0.19,107.7,108.45,2.69,86.01,107.03,16.5,42.12,0.97,potable
8.18,2.25,7.8,1174.57,260.13,144.36,0.09,58.08,0.04,149.75,333.85,2.02,2.71,14.95,10.56,22.97,1.09,potable
14.92,2.57,8.33,1191.78,902.4,76.88,0.12,39.96,0.08,101.37,312.03,1.98,5.6,15.97,20.93,4.49,0.58,potable
8.62,3.37,8.14,999.7,916.88,272.01,0.12,85.88,0.25,96.1,267.01,3.13,90.09,132.17,22.97,2.9,1.11,potable
4.68,4.43,6.74,1089.84,897.1,28.88,0.1,238.72,0.08,38.99,132.0,1.62,2.93,24.68,39.49,19.27,0.5,potable
3.33,2.98,7.61,1081.62,790.03,251.17,0.01,176.84,0.06,173.79,352.48,2.54,43.72,105.86,46.94,37.44,1.31,potable
7.48,0.81,7.75,988.11,288.75,152.64,0.02,12.78,0.25,142.72,157.15,0.28,33.71,73.08,20.42,16.37,1.73,potable
5.88,1.77,8.02,297.36,430.72,273.5,0.2,1.26,0.26,71.06,152.78,2.2,18.76,27.38,19.7,6.16,0.51,potable
8.64,3.96,7.08,563.33,831.75,97.99,0.05,161.8,0.26,23.65,391.14,2.47,83.9,82.66,44.83,36.94,0.17,potable
0.23,1.53,8.18,270.15,581.53,238.8,0.06,124.49,0.01,75.69,153.08,1.64,70.53,102.25,5.22,38.49,0.99,potable
3.62,0.04,7.9,444.22,805.47,199.11,0.11,63.33,0.12,132.36,194.66,2.11,99.51,89.83,16.18,0.04,1.96,potable
4.64,2.49,7.08,307.46,46.97,253.41,0.07,61.21,0.25,181.01,20.8,2.68,60.22,48.37,13.48,25.44,0.97,potable
12.56,0.06,6.79,150.33,923.12,255.04,0.06,16.12,0.05,56.95,342.27,0.19,19.81,134.93,41.31,32.03,0.5,potable
8.53,1.64,8.31,737.92,200.51,7.04,0.14,61.75,0.02,121.21,279.86,0.52,21.65,10.54,0.66,28.54,0.86,potable
14.97,1.76,7.36,248.27,575.45,173.27,0.1,239.36,0.23,150.69,323.89,0.08,46.36,38.39,3.67,36.46,0.94,potable
13.87,4.88,7.03,315.06,134.89,198.06,0.17,189.91,0.02,96.03,161.99,3.14,91.92,88.14,7.59,34.95,0.14,potable
10.43,0.97,6.77,722.31,968.06,236.61,0.18,222.04,0.05,104.34,329.34,0.57,5.59,107.61,22.32,11.94,2.01,potable
13.92,2.93,7.48,582.26,879.02,44.18,0.08,38.44,0.26,161.1,332.36,3.6,88.74,20.96,46.74,14.14,1.11,potable
5.18,2.13,7.96,1251.89,944.51,28.87,0.02,112.73,0.15,135.91,208.99,3.11,76.31,1.5,23.39,27.36,1.88,potable
8.89,0.26,6.75,667.93,355.9,244.29,0.07,107.07,0.29,43.99,51.89,4.83,10.82,73.27,25.7,27.19,0.31,potable
10.64,2.19,6.67,1292.8,431.61,125.22,0.05,208.76,0.28,108.74,235.38,4.25,52.1,1.74,5.91,33.8,2.05,potable
8.44,2.87,6.93,1178.72,387.99,234.04,0.07,7.81,0.24,73.78,336.64,4.25,11.38,23.99,19.94,43.11,1.09,potable
7.18,3.25,8.3,249.12,799.85,203.56,0.15,183.89,0.04,143.45,313.91,2.37,17.29,79.6,44.47,24.74,0.78,potable
13.42,2.53,6.96,833.58,561.32,71.69,0.03,217.28,0.25,137.78,99.91,4.88,22.58,96.87,3.88,43.6,1.71,potable
3.27,3.35,7.43,122.61,428.6,254.21,0.03,198.47,0.05,23.77,68.07,4.5,57.94,90.35,19.8,4.94,1.43,potable
0.49,2.56,6.58,805.45,379.16,146.08,0.18,199.96,0.02,4.25,25.0,4.74,59.18,77.81,42.45,10.35,1.89,potable
3.1,4.8,7.6,60.81,632.58,220.21,0.14,102.46,0.26,170.53,241.11,4.25,65.57,102.52,22.87,37.55,1.93,potable
14.91,0.11,7.52,694.47,735.77,188.19,0.02,192.32,0.04,175.46,167.79,1.91,90.9,41.45,13.56,33.02,1.32,potable
10.69,4.27,8.39,776.41,455.47,56.11,0.04,187.78,0.01,143.39,88.42,1.97,42.3,93.42,33.69,2.27,2.19,potable
2.78,2.31,6.66,911.3,286.42,113.97,0.09,53.71,0.29,164.28,115.02,2.31,55.36,6.62,16.82,21.02,1.91,potable
8.64,3.8,7.28,351.12,266.2,262.17,0.15,241.87,0.24,21.98,159.67,4.15,47.99,40.23,32.42,0.21,0.5,potable
7.82,0.05,7.99,827.38,199.69,200.91,0.15,210.57,0.19,114.47,338.37,4.27,1.68,78.42,19.72,44.1,0.92,potable
1.2,4.47,6.75,1169.03,828.72,42.56,0.19,67.73,0.17,59.85,95.81,2.62,56.23,139.97,41.87,28.93,1.73,potable
4.66,1.95,8.07,110.37,96.59,48.94,0.15,247.1,0.22,190.98,240.54,4.64,59.74,58.66,34.3,2.67,0.27,potable
6.03,2.67,7.18,688.29,867.45,11.26,0.0,194.11,0.1,135.98,242.5,0.61,60.96,106.86,5.39,7.92,1.55,potable
1.49,0.03,7.87,1014.85,635.82,193.44,0.11,23.8,0.09,167.41,65.98,1.6,41.64,56.9,15.25,19.15,0.78,potable
5.76,3.46,6.55,624.61,931.61,282.47,0.18,155.68,0.1,193.5,172.88,1.66,16.17,148.5,6.42,3.41,0.94,potable
14.15,4.46,6.78,170.77,108.98,183.33,0.13,19.76,0.01,177.44,242.63,3.98,99.95,46.08,45.01,24.7,1.41,potable
0.18,2.7,7.97,1343.92,566.66,77.21,0.18,249.63,0.15,147.82,344.45,1.26,49.09,13.27,14.59,3.1,0.04,potable
7.88,4.26,7.09,400.03,645.1,295.7,0.06,164.67,0.26,141.56,231.62,3.09,67.85,16.29,47.52,35.59,1.48,potable
9.24,3.52,6.52,1291.72,758.38,97.26,0.1,224.94,0.06,93.46,201.79,4.65,49.23,5.92,26.02,11.02,1.83,potable
14.85,3.98,7.12,878.55,573.86,207.46,0.15,220.66,0.13,101.26,374.92,4.28,24.52,31.81,21.83,43.31,1.55,potable
6.44,1.63,6.68,868.75,312.41,138.08,0.16,122.79,0.01,120.62,126.57,2.23,86.13,83.56,37.29,28.52,0.44,potable
1.32,3.32,8.39,973.72,10.94,294.29,0.07,84.23,0.07,10.17,360.97,0.9,53.76,41.55,24.18,20.5,1.54,potable
1.84,4.82,7.87,519.14,776.17,35.84,0.09,177.03,0.19,83.63,290.03,1.4,16.85,149.85,7.45,44.18,0.91,potable
1.14,1.21,7.7,132.41,275.53,182.98,0.07,245.77,0.08,128.55,254.54,2.21,22.82,132.34,31.4,30.77,0.24,potable
10.12,2.32,7.04,779.2,492.77,9.74,0.1,187.26,0.13,162.32,188.18,4.6,8.08,131.35,21.11,0.13,2.19,potable
3.71,0.48,7.53,754.75,112.76,8.47,0.17,112.46,0.16,138.05,145.98,1.89,90.47,141.95,13.97,24.35,0.97,potable
14.05,3.72,7.7,111.09,654.7,8.03,0.16,137.93,0.13,97.05,388.76,3.86,38.46,11.84,32.23,13.3,1.92,potable
11.55,0.28,7.32,279.63,115.13,128.98,0.01,70.29,0.23,196.0,54.45,0.65,67.01,17.12,19.54,26.69,0.11,potable
8.97,0.6,6.79,487.0,444.66,230.09,0.05,225.81,0.06,66.03,153.02,2.22,96.62,121.27,48.69,25.12,0.4,potable
0.53,0.33,8.07,130.25,345.86,215.77,0.02,158.85,0.0,64.5,94.65,0.67,59.02,85.39,7.25,32.1,0.23,potable
11.04,2.94,7.33,879.29,9.79,9.59,0.01,230.19,0.07,180.09,188.83,3.8,92.77,111.78,42.54,3.46,1.53,potable
0.58,3.73,6.56,1227.14,491.98,183.76,0.2,61.85,0.25,112.64,221.19,1.38,8.35,74.45,37.11,2.66,1.91,potable
9.12,1.02,7.65,193.13,783.11,5.78,0.1,77.99,0.29,140.7,194.08,3.67,14.81,48.94,0.69,25.07,1.54,potable
9.89,2.89,6.87,1448.2,463.0,108.19,0.08,15.23,0.06,187.54,1.6,2.07,31.84,52.24,3.66,41.2,0.69,potable
8.59,0.6,6.84,442.34,804.9,53.36,0.03,101.27,0.1,103.63,124.7,0.62,21.43,30.5,35.36,0.97,2.01,potable
5.97,3.33,7.16,166.55,615.56,73.38,0.14,245.93,0.18,70.6,333.42,4.99,76.64,34.73,7.85,12.42,1.42,potable
11.29,1.49,6.79,879.0,436.88,0.84,0.06,20.41,0.08,4.59,253.89,2.13,35.35,96.97,43.93,40.14,0.39,potable
0.29,3.45,6.87,10.83,702.77,284.42,0.02,85.79,0.01,167.55,347.11,1.56,37.13,71.87,25.68,44.78,1.05,potable
6.88,0.33,7.68,793.72,891.22,265.06,0.1,215.32,0.28,36.35,191.54,4.21,24.82,63.95,20.93,17.74,0.62,potable
8.96,4.74,7.47,1046.69,448.39,13.79,0.13,25.52,0.24,138.34,145.31,3.56,85.12,97.88,3.43,34.2,0.38,potable
4.59,3.67,7.19,959.85,52.84,114.8,0.09,118.65,0.09,138.74,332.84,4.68,62.53,26.61,9.89,3.24,1.32,potable
13.58,2.81,6.9,1213.0,919.49,186.96,0.09,190.63,0.06,154.68,209.99,1.77,60.32,75.51,29.87,10.0,1.16,potable
4.97,0.01,8.45,556.84,892.21,93.95,0.03,47.89,0.13,156.0,216.86,2.98,81.28,0.51,19.16,31.49,2.13,potable
1.06,2.57,7.26,638.42,369.98,147.33,0.17,170.71,0.13,186.86,194.81,1.93,82.28,1.92,11.73,9.88,0.63,potable
11.58,0.37,7.85,1105.58,90.99,34.11,0.05,70.35,0.1,19.45,245.67,4.73,58.03,79.3,20.94,26.55,0.89,potable
3.76,0.99,7.68,1414.45,588.49,37.73,0.11,183.08,0.21,63.57,354.64,0.54,85.53,42.42,17.89,1.49,0.31,potable
13.05,4.98,7.11,162.32,489.02,100.2,0.19,166.81,0.28,86.75,61.64,3.73,38.34,141.21,22.83,5.36,1.92,potable
3.77,3.61,6.76,640.61,940.93,206.87,0.08,54.45,0.16,46.22,357.03,0.56,68.25,3.15,12.14,25.38,0.05,potable
0.84,4.23,7.34,158.23,250.11,70.86,0.07,79.62,0.17,128.47,341.58,3.68,11.15,88.49,36.04,7.99,1.3,potable
11.79,2.3,8.2,331.3,943.96,214.47,0.06,209.65,0.05,162.23,198.51,0.04,62.07,7.28,36.3,21.72,1.98,potable
1.35,3.15,8.41,668.89,796.93,253.59,0.11,184.59,0.29,53.24,364.45,1.34,7.17,29.65,29.81,43.58,0.56,potable
5.61,1.62,6.54,558.13,280.88,50.39,0.0,77.18,0.03,3.28,30.18,3.9,5.44,25.29,30.34,22.31,0.61,potable
13.85,4.89,6.84,371.17,966.53,33.32,0.18,78.48,0.07,12.5,116.07,2.97,87.3,140.72,45.44,20.93,0.59,potable
6.13,3.33,6.84,478.51,788.28,299.35,0.1,245.0,0.15,111.92,145.18,2.09,72.29,145.18,28.52,2.39,1.86,potable
2.45,4.6,7.34,47.72,883.37,222.89,0.08,248.72,0.02,6.15,328.41,3.91,45.1,113.27,1.57,11.12,1.53,potable
12.15,0.4,7.03,630.33,649.24,30.44,0.06,155.17,0.04,79.51,318.1,1.5,79.51,102.59,24.1,12.38,1.37,potable
2.43,1.68,7.9,1324.14,782.46,206.37,0.1,35.45,0.09,153.29,96.09,2.36,9.43,109.29,45.64,2.85,0.09,potable
4.97,0.52,8.22,965.86,0.07,106.49,0.06,79.34,0.05,105.97,380.66,3.54,0.86,9.36,32.47,35.78,1.01,potable
1.21,2.63,8.06,1074.01,556.28,65.86,0.1,189.19,0.12,54.28,218.04,2.19,18.81,68.46,40.94,43.26,1.7,potable
12.81,2.75,6.82,674.27,375.32,249.29,0.13,117.96,0.03,6.87,239.53,1.57,9.53,31.72,2.38,33.49,1.48,potable
9.23,0.77,6.73,420.48,315.41,149.55,0.09,188.68,0.05,90.03,77.79,1.17,38.1,143.71,48.62,31.08,1.34,potable
13.76,0.66,8.06,709.03,878.89,24.54,0.06,126.34,0.28,105.45,242.08,1.17,28.28,107.55,8.84,29.05,0.73,potable
13.9,3.26,8.23,997.55,187.69,298.42,0.0,200.55,0.23,167.47,394.43,4.87,38.66,4.26,6.73,16.99,1.84,potable
4.38,1.11,6.96,492.52,961.52,153.87,0.15,25.77,0.24,92.11,300.56,4.19,86.81,68.15,13.24,26.42,1.6,potable
3.73,4.11,7.18,791.26,8.56,10.75,0.09,164.46,0.24,21.04,154.12,4.45,62.56,39.99,17.41,34.0,0.92,potable
13.0,3.53,8.27,1133.9,124.39,6.38,0.1,102.33,0.06,138.98,187.78,4.24,71.59,119.1,47.44,15.73,1.84,potable
7.97,2.63,7.39,1306.73,922.83,252.98,0.07,28.76,0.28,187.57,0.54,4.61,13.96,87.62,16.65,18.71,2.06,potable
6.51,3.38,7.4,807.89,368.4,247.99,0.13,153.86,0.12,23.58,282.35,0.61,97.48,84.83,0.62,21.51,1.6,potable
8.72,4.67,8.11,1015.22,177.83,220.97,0.19,54.41,0.06,157.7,243.36,4.3,20.6,0.42,41.3,37.84,0.64,potable
2.8,0.02,7.31,571.49,262.64,93.5,0.04,41.71,0.16,35.75,105.95,2.03,68.95,92.75,45.24,33.33,0.03,potable
2.36,4.42,8.29,620.81,569.81,196.71,0.08,77.33,0.24,74.31,265.62,2.74,34.08,92.93,29.54,9.12,0.37,potable
10.34,0.1,6.78,410.13,601.67,258.69,0.08,7.87,0.01,192.68,78.57,2.06,62.73,122.53,10.34,34.84,0.75,potable
2.58,3.22,7.13,521.68,253.83,29.86,0.19,149.62,0.1,76.44,326.03,0.81,27.52,113.09,22.39,7.22,1.17,potable
12.34,0.7,7.84,890.88,218.0,34.09,0.15,33.02,0.16,119.93,204.95,0.55,12.45,62.47,11.93,15.84,0.7,potable
2.94,0.24,6.64,1213.87,399.56,142.99,0.09,153.53,0.14,163.09,343.52,2.54,25.81,139.1,26.85,13.27,0.37,potable
5.45,2.84,7.41,343.81,503.43,113.7,0.15,163.42,0.16,56.97,366.34,2.51,45.97,74.3,49.9,41.83,0.68,potable
11.6,1.06,7.01,1218.08,764.89,187.54,0.03,100.26,0.1,138.98,100.94,4.64,74.05,64.75,27.94,35.72,1.9,potable
8.33,3.41,6.87,438.27,392.71,158.99,0.14,192.68,0.15,176.29,83.57,3.22,19.87,72.56,18.25,4.41,2.1,potable
7.89,1.44,7.32,1005.81,192.38,38.2,0.14,74.95,0.05,27.72,212.83,4.57,2.7,77.13,19.56,26.36,1.66,potable
